País,Continente,Aérea,Marítima,Total,Ano
Nova Zelândia,Oceania,2446,386,2832,2017
Outros - Oceania,Oceania,11,0,11,2017
Países não especificados,Países não especificados,0,0,0,2017
África do Sul,África,2660,156,2816,2018
Angola,África,3211,0,3211,2018
Cabo Verde,África,99,1,100,2018
Egito,África,541,5,546,2018
Gana,África,75,0,75,2018
Marrocos,África,2797,7,2804,2018
Moçambique,África,622,0,622,2018
Nigéria,África,347,0,347,2018
Quênia,África,175,11,186,2018
Tunísia,África,706,0,706,2018
Outros - África,África,1111,31,1142,2018
Costa Rica,América Central e Caribe,2833,8,2841,2018
Cuba,América Central e Caribe,612,3,615,2018
El Salvador,América Central e Caribe,875,2,877,2018
Guatemala,América Central e Caribe,1707,12,1719,2018
Haiti,América Central e Caribe,252,1,253,2018
Honduras,América Central e Caribe,624,8,632,2018
Nicarágua,América Central e Caribe,281,8,289,2018
Panamá,América Central e Caribe,2457,9,2466,2018
República Dominicana,América Central e Caribe,1056,12,1068,2018
Trinidad e Tobago,América Central e Caribe,281,2,283,2018
Outros - América Central e Caribe,América Central e Caribe,473,25,498,2018
Canadá,América do Norte,10145,610,10755,2018
Estados Unidos,América do Norte,117738,2126,119864,2018
México,América do Norte,11214,156,11370,2018
Argentina,América do Sul,417605,33507,451112,2018
Bolívia,América do Sul,1415,39,1454,2018
Chile,América do Sul,153905,540,154445,2018
Colômbia,América do Sul,36271,100,36371,2018
Equador,América do Sul,7000,43,7043,2018
Guiana,América do Sul,87,0,87,2018
Guiana Francesa,América do Sul,0,0,0,2018
Paraguai,América do Sul,4962,85,5047,2018
Peru,América do Sul,24182,76,24258,2018
Suriname,América do Sul,25,0,25,2018
Uruguai,América do Sul,32630,2176,34806,2018
Venezuela,América do Sul,5450,27,5477,2018
Arábia Saudita,Ásia,401,0,401,2018
Bangladesh,Ásia,209,0,209,2018
China,Ásia,8198,54,8252,2018
Hong Kong,Ásia,1038,6,1044,2018
Cingapura,Ásia,1320,13,1333,2018
Filipinas,Ásia,1173,54,1227,2018
Índia,Ásia,3678,86,3764,2018
Indonésia,Ásia,486,40,526,2018
Irã,Ásia,313,0,313,2018
Israel,Ásia,10989,118,11107,2018
Japão,Ásia,4641,14,4655,2018
Líbano,Ásia,557,0,557,2018
Malásia,Ásia,1358,9,1367,2018
Paquistão,Ásia,386,0,386,2018
República da Coreia,Ásia,2909,9,2918,2018
Síria,Ásia,117,0,117,2018
Tailândia,Ásia,892,6,898,2018
Taiwan,Ásia,853,4,857,2018
Outros - Ásia,Ásia,2783,9,2792,2018
Alemanha,Europa,48817,927,49744,2018
Áustria,Europa,5956,108,6064,2018
Bélgica,Europa,6609,80,6689,2018
Bulgária,Europa,903,21,924,2018
Croácia,Europa,630,14,644,2018
Dinamarca,Europa,4194,95,4289,2018
Eslováquia,Europa,865,8,873,2018
Eslovênia,Europa,547,7,554,2018
Espanha,Europa,21380,377,21757,2018
Estônia,Europa,431,0,431,2018
Finlândia,Europa,2174,4,2178,2018
França,Europa,69650,355,70005,2018
Grécia,Europa,1493,29,1522,2018
Holanda,Europa,13987,231,14218,2018
Hungria,Europa,1304,24,1328,2018
Irlanda,Europa,5653,41,5694,2018
Itália,Europa,37924,930,38854,2018
Letônia,Europa,298,3,301,2018
Lituânia,Europa,555,11,566,2018
Luxemburgo,Europa,299,5,304,2018
Noruega,Europa,6738,94,6832,2018
Polônia,Europa,8463,52,8515,2018
Portugal,Europa,28554,91,28645,2018
Reino Unido,Europa,38985,930,39915,2018
República Tcheca,Europa,1787,10,1797,2018
Romênia,Europa,1963,37,2000,2018
Rússia,Europa,6952,76,7028,2018
Sérvia,Europa,711,9,720,2018
Suécia,Europa,8090,46,8136,2018
Suíça,Europa,14828,205,15033,2018
Turquia,Europa,1785,4,1789,2018
Ucrânia,Europa,1691,29,1720,2018
Outros - Europa,Europa,1326,72,1398,2018
Austrália,Oceania,11041,315,11356,2018
Nova Zelândia,Oceania,2459,93,2552,2018
Outros - Oceania,Oceania,24,2,26,2018
Países não especificados,Países não especificados,8,0,8,2018
África do Sul,África,3129,112,3241,2019
Angola,África,2440,0,2440,2019
Cabo Verde,África,73,0,73,2019
Egito,África,579,4,583,2019
Gana,África,65,0,65,2019
Marrocos,África,2630,0,2630,2019
Moçambique,África,1011,4,1015,2019
Nigéria,África,313,0,313,2019
Quênia,África,92,11,103,2019
Tunísia,África,802,3,805,2019
Outros - África,África,1151,11,1162,2019
Costa Rica,América Central e Caribe,1913,18,1931,2019
Cuba,América Central e Caribe,427,5,432,2019
El Salvador,América Central e Caribe,597,5,602,2019
Guatemala,América Central e Caribe,1166,7,1173,2019
Haiti,América Central e Caribe,132,0,132,2019
Honduras,América Central e Caribe,503,8,511,2019
Nicarágua,América Central e Caribe,264,8,272,2019
Panamá,América Central e Caribe,2446,5,2451,2019
República Dominicana,América Central e Caribe,536,1,537,2019
Trinidad e Tobago,América Central e Caribe,210,2,212,2019
Outros - América Central e Caribe,América Central e Caribe,429,34,463,2019
Canadá,América do Norte,13524,305,13829,2019
Estados Unidos,América do Norte,116984,1645,118629,2019
México,América do Norte,8121,422,8543,2019
Argentina,América do Sul,367042,38259,405301,2019
Bolívia,América do Sul,1940,112,2052,2019
Chile,América do Sul,153741,950,154691,2019
Colômbia,América do Sul,29007,166,29173,2019
Equador,América do Sul,5750,36,5786,2019
Guiana,América do Sul,61,3,64,2019
Guiana Francesa,América do Sul,0,0,0,2019
Paraguai,América do Sul,4357,117,4474,2019
Peru,América do Sul,25150,83,25233,2019
Suriname,América do Sul,16,0,16,2019
Uruguai,América do Sul,33106,4211,37317,2019
Venezuela,América do Sul,6965,84,7049,2019
Arábia Saudita,Ásia,442,0,442,2019
Bangladesh,Ásia,104,0,104,2019
China,Ásia,8574,171,8745,2019
Hong Kong,Ásia,694,33,727,2019
Cingapura,Ásia,988,28,1016,2019
Filipinas,Ásia,1373,54,1427,2019
Índia,Ásia,3782,64,3846,2019
Indonésia,Ásia,794,24,818,2019
Irã,Ásia,156,0,156,2019
Israel,Ásia,8472,136,8608,2019
Japão,Ásia,4074,839,4913,2019
Líbano,Ásia,480,4,484,2019
Malásia,Ásia,1150,14,1164,2019
Paquistão,Ásia,269,0,269,2019
República da Coreia,Ásia,4273,18,4291,2019
Síria,Ásia,103,0,103,2019
Tailândia,Ásia,669,8,677,2019
Taiwan,Ásia,741,111,852,2019
Outros - Ásia,Ásia,2182,21,2203,2019
Alemanha,Europa,43827,445,44272,2019
Áustria,Europa,5010,82,5092,2019
Bélgica,Europa,6288,62,6350,2019
Bulgária,Europa,1075,25,1100,2019
Croácia,Europa,994,11,1005,2019
Dinamarca,Europa,5043,33,5076,2019
Eslováquia,Europa,941,16,957,2019
Eslovênia,Europa,417,8,425,2019
Espanha,Europa,20659,467,21126,2019
Estônia,Europa,514,8,522,2019
Finlândia,Europa,1823,28,1851,2019
França,Europa,71644,616,72260,2019
Grécia,Europa,1915,25,1940,2019
Holanda,Europa,13944,128,14072,2019
Hungria,Europa,2482,13,2495,2019
Irlanda,Europa,7140,35,7175,2019
Itália,Europa,35378,1107,36485,2019
Letônia,Europa,509,4,513,2019
Lituânia,Europa,760,10,770,2019
Luxemburgo,Europa,440,0,440,2019
Noruega,Europa,7111,30,7141,2019
Polônia,Europa,8042,38,8080,2019
Portugal,Europa,31677,134,31811,2019
Reino Unido,Europa,48217,1226,49443,2019
República Tcheca,Europa,2773,11,2784,2019
Romênia,Europa,2927,75,3002,2019
Rússia,Europa,9524,210,9734,2019
Sérvia,Europa,969,30,999,2019
Suécia,Europa,7817,81,7898,2019
Suíça,Europa,13085,159,13244,2019
Turquia,Europa,1197,115,1312,2019
Ucrânia,Europa,2038,65,2103,2019
Outros - Europa,Europa,1649,39,1688,2019
Austrália,Oceania,12929,219,13148,2019
Nova Zelândia,Oceania,1734,30,1764,2019
Outros - Oceania,Oceania,31,4,35,2019
Países não especificados,Países não especificados,7,0,7,2019
